id,track,release_date,duration_sec,spotify_url,name,description
4N68as7Cd4hytN2c1OfK84,1,2019-11-21,3811.056,https://open.spotify.com/episode/4N68as7Cd4hytN2c1OfK84,Folge Null,"In Folge 1 beschäftigen wir uns mit der Frage:  Was soll das eigentlich? Wer sind die zwei anderen die Klaas immer ins Wort fallen? Wo möchten wir hin und kann man eigentlich in einem Gespräch dazu lernen, in dem alle Teilnehmer EXAKT gleich doof sind? Alle Antworten auf diese und viele andere Fragen: In Folge 1 von Baywatch Berlin.  Alle Infos und Rabatte zu unseren Werbepartnern unter https://linktr.ee/BaywatchBerlin"
0wxCYJIFUULRSG9tx3JHKU,2,2019-11-28,3899.297,https://open.spotify.com/episode/0wxCYJIFUULRSG9tx3JHKU,Schmitt rastet aus,"Die Premiere ist gelaufen & schon laufen die alten Zirkuspferde ihre gewohnten Runden.  Schmitt vermutet überall den Räuber im Busch, wenn es darum geht seine Persönlichkeit für den Hörer durch blosse Fakten anschaulich auszuleuchten. Stichwort: “Wie werde ich hier dargestellt?” Jakob fantasiert von Feinkostläden, einer Solokarriere & weiteren Verdienstmöglichkeiten in der Verwertungskette """"Baywatch Berlin"""" (In Folge 2, räusper).  Klaas wiederum stellt ein weiteres Mal unter Beweis das der Mensch hinter der perfekten Modelfassade sogar NOCH liebenswerter ist als bislang gedacht.  Er erzählt packende Hintergrundgeschichten aus dem “Duell um die Welt”, massiert ein paar der besten Gags der Welt in den lockeren Gesprächsfluss & hat sich sogar dazu bereit erklärt den Text für die Folgenbeschreibung persönlich zu schreiben. Was für ein Teufelskerl.  Alle Infos und Rabatte zu unseren Werbepartnern unter https://linktr.ee/BaywatchBerlin"
4HEpRaNZqY114VkP5PdwKV,3,2019-12-05,3618.507,https://open.spotify.com/episode/4HEpRaNZqY114VkP5PdwKV,Todesangst auf der Schweineinsel,"Angst & Schrecken in der Mario Basler-Realschule. Mit dem Mut der Verzweiflung stürzen sich Heufer-Umlauf, Schmitt und Lundt in eine gnadenlos ehrliche Bestandsaufnahme ihres Modebewusstseins und erinnern sich an einen legendären „Duell um die Welt“-Dreh, bei dem aus eine Schweineinsel auf den Bahamas ein Vorhof zur Hölle wurde. Während Klaas mit der Tatsache konfrontiert wird, dass sein Auftritt in einer ProSieben-Show etwas unelegant war, schlägt Schmitt in seiner „Technikecke“ ein neues Kapitel der Dreistigkeit auf.  Alle Infos und Rabatte zu unseren Werbepartnern unter https://linktr.ee/BaywatchBerlin"
0KFDe6XJPEynfwuuGFZWzA,4,2019-12-12,3062.256,https://open.spotify.com/episode/0KFDe6XJPEynfwuuGFZWzA,Aftershow am Everest,"Sex, Crime, SPD und Paarbeziehungen sind auch diese Woche kein Thema bei „Baywatch Berlin“. Dafür werden die elementare Fragen der Menschheit gestellt und mit dem gewohnten Mix aus Schreierei und wirren Reden halbwegs beantwortet:  Darf man randalierende Besoffene auf dem Weihnachtsmarkt erschießen?  Wieviel Kritik muss ein Starmoderator hinnehmen?   Welche geheime Leidenschaft teilen Schmitt und der Rapper Casper?  Darf ein Ankündigungstext nur aus vielen Fragen bestehen und wo hat Klaas Heufer-Umlauf eigentlich seinen Mercedes verbummelt?  Das alles in Folge 4 „Aftershow am Everest“. Out now?  Alle Infos und Rabatte zu unseren Werbepartnern unter https://linktr.ee/BaywatchBerlin"
1O7XTl8WqjdqFV5ilMvWd6,5,2019-12-19,4415.399,https://open.spotify.com/episode/1O7XTl8WqjdqFV5ilMvWd6,Schrottwichteln am Promitresen (zensiert),"Baywatch Berlin - ein toter Briefkasten voller Indeskretion, der in dieser Woche hart am Wind der Legalität segelt. In Folge 5 verraten die drei Snitches von Baywatch Berlin den geheimen Treffpunkt aller deutschen Promis! Die Whistleblower der Kategorie „Egal“ vergessen schon nach wenigen Sekunden die Mikrofone die überall um sie herum aufgebaut sind, und verlieren sich ein weiteres Mal  in einer pikanten Dampfplauderei. Welcher bekannte TV Star beendet seine Abende traditionell mit einem geräuschvollen Sturz? Wurde Klaas von Campino 2016 geblitzdingst? Was kostet 9€, schmeckt dafür aber wenigstens überhaupt nicht? Und warum hat ausgerechnet Menschenhasser Klaas ein Weihnachtsgeschenk für die anderen, geht aber selber leer aus? Jakob, Thomas & Klaas, die 31er der Herzen, freuen sich mit euch auf die letzte Folge Baywatch Berlin im Jahr 2019! Bussi Bussi  Alle Infos und Rabatte zu unseren Werbepartnern unter https://linktr.ee/BaywatchBerlin"
1VX1d96NRLX2tU8rA2ekel,6,2020-01-16,4633.443,https://open.spotify.com/episode/1VX1d96NRLX2tU8rA2ekel,Kurt Cobain im Outlet-Center,"Kaum hat das neue Jahr begonnen, drängen sich bei Baywatch Berlin die wirklich existenziellen Fragen auf: Wie würden sich Schmitt, Lundt und Heufer-Umlauf im RTL Dschungelcamp verhalten? Muss man vor Russen im Skilift Angst haben? Warum sollte man jetzt in Dubai investieren und was bekam Lundt von seinen Duell um die Welt-Reisen wirklich mit? Zudem wird die Frage geklärt, was Z-Promi Schmitt ohne Hose im Outlet-Center macht und was das alles mit Kurt Cobain zu tun hat.  Alle Infos und Rabatte zu unseren Werbepartnern unter https://linktr.ee/BaywatchBerlin"
4X4MXwiPZBOpiv3bnD3buW,7,2020-01-23,4421.172,https://open.spotify.com/episode/4X4MXwiPZBOpiv3bnD3buW,Backpfeifen im Fernsehstudio,"""Premiere beim Holper und Stümper Podcast „Baywatch Berlin“: Zum ersten Mal sind die drei Plaudertauschen nicht gemeinsam in Berlin! Dafür gesteht Klaas in „Backpfeifen im Fernsehstudio“ etwas, das er noch niemanden auf der Welt jemals erzählt hat. Eine Peinlichkeit, die selbst Ross Anthony rot werden ließe und belegt warum sehr gute Englischkenntnisse tatsächlich nicht nur im Beruf, sondern auch im sogenannten „Leben“ von Vorteil sein können. Auch Schmitti und Lundt überraschen mit den peinlichsten Stunden ihres Lebens und berichten erstmals weltexklusiv darüber welchen Schaden „Gevatter Alkohol“ in TV Aufzeichnungen anrichten kann. Außerdem was bedeutet „Großmimentum“ und warum ist Jan Josef Liefers exakt von diesem Virus betroffen und wieso fällt in diesem Podcast das Wort „Vorhaut“ häufiger als in jeder bisherigen Folge? Die Antworten gibt nur die Episode „Backpfeifen im Fernsehstudio“ selbst. Schnell hören, bevor es die Anwälte tun!""  Alle Infos und Rabatte zu unseren Werbepartnern unter https://linktr.ee/BaywatchBerlin"
33ezHqD25hs3Mmmawgcl8g,8,2020-01-30,4222.928,https://open.spotify.com/episode/33ezHqD25hs3Mmmawgcl8g,Mit Trauerflor im Heidepark,Bei Baywatch Berlin bereiten sich unsere drei sicht- und hörbar in die Jahre gekommenen „Helden“ in dieser Woche auf das unausweichliche Thema Tod vor. Wie soll getrauert werden? Dürften die anderen zwei nur wenige Tage nach dem Tod des einen zur Zerstreuung in den Heide-Park? Soll das Erbe „mit warmer Hand“ gegeben werden & werden Wumbotaler als Zahlungsmittel akzeptiert? Darüber hinaus hat Fitness-Icon Lundt neue Tipps wie ihr euch krass machen könnt & Schmittibert erzählt von seinem neuen Hobby: Kriminalitätsandeutung um endlich mal wie ein Erwachsener behandelt zu werden. Klaas hatte eine Marienerscheinung in Form eines Getränkelasters und erklärt wie es sich anfühlt vor Millionen von Zuschauern bei „Wetten dass“ an einer Axt zu lecken. NA BOCK BEKOMMEN? Dann los!  Alle Infos und Rabatte zu unseren Werbepartnern unter https://linktr.ee/BaywatchBerlin
1Q16cRAd8fkeLCmVls0MKV,9,2020-02-06,4691.774,https://open.spotify.com/episode/1Q16cRAd8fkeLCmVls0MKV,Mopshoden im Olympiastadion,"Wussten Sie, dass Dwayne „The Rock“ Johnson vor Fernsehshows keine Treppen läuft?  War Ihnen klar, dass man mit unvollständigem Hodensack ein Fall fürs Oberlandesgericht wird?  Würden Sie eine Petition unterschreiben, die Felix Lobrecht den Gang ins Fitnessstudio verwehrt? Wieso muss in TV Shows von Joko und Klaas das „Katzenarschloch“ stets gut ausgeleuchtet sein?   Diese und weitere Fragen, die Sie sich garantiert noch nie gestellt haben, beantworten Lundt, Schmitt und Heufer-Umlauf in der neuesten Folge von „Baywatch Berlin“. Ob Sie wollen oder nicht.  Alle Infos und Rabatte zu unseren Werbepartnern unter https://linktr.ee/BaywatchBerlin"
198qXmtSiewz89aDOgLfdn,10,2020-02-13,4525.087,https://open.spotify.com/episode/198qXmtSiewz89aDOgLfdn,Hooligan im Körper von Mr. Burns,"Es gab eben einen erbitterten Streit zwischen Schmitti, Klaas und mir darüber, dass unsere Folgenbeschreibungen immer zu lang sind. Deswegen hier kurz und nur in Stichworten: Folge 10, Jubiläum, Formatradio, Gewissensfrage, Kuba, Jorge, Rippenbruch, Schlägereien, Duell um die Welt, Uboot, Sterben, Schmittis Mutter, Geisterjäger, Gruselhaus, Konzertflügel Viel Spaß mit ""Hooligan im Körper von Mr.Burns"" Ihr JL  Alle Infos und Rabatte zu unseren Werbepartnern unter https://linktr.ee/BaywatchBerlin"
